NAISTYP_SORT; NAISTYP_C; NAISTYP_HAUPTVAR; NAISTYP_VAR; NAISTYP_NWLD;NAISTYP_NWLD_FR; NAISTYP_HDOM_MIN; NAISTYP_HDOM_MAX; NAISTYP_HMAX_NAD; NAISTYP_HMAX_LAU;NAISTYP_BEM4; NAISTYP_STAO; NAISTYP_STAO_FR; NAISTYP_VASP; NAISTYP_VASP_FR; NAISTYP_HUMF; NAISTYP_ENT;NAISTYP_EIG; NAISTYP_EIG_FR; NTYP_KG_FEIN; NTYP_KG_GESTEIN; NAISTYP_KG_V; NAISTYP_KG_T_MIN; NAISTYP_KG_T_MAX; NTYP_AM_S; NTYP_AM_B; NTYP_RT_MITTELH; NTYP_RT_MULDE; NTYP_RT_KUPPE; NTYP_RT_PLATEAU; NTYP_RT_STEILH; NTYP_FELS; NTYP_BL_FELS_ST; NTYP_BL_FELS_WE; NTYP_BL_KARREN; NTYP_BL_SCHUTT_M; NTYP_BL_SCHUTT_S; NTYP_BL_SCHUTT_X; NTYP_STEINSCHLAG; NTYP_LAWINEN; NTYP_RUTSCHUNG; NTYP_EROSION; NTYP_WASS_BACH; NTYP_WASS_KLEIN; NTYP_WASS_QUELL; NTYP_WECHSELF; NAISTYP_GFX; ART_LNK_HG_NATW; ART_LNK_HG_HOE; ART_LNK_HG_STD; ART_LNK_HG_VEGA; ART_LNK_HG_MERKM; ART_LNK_HG_BS; ART_LNK_HG_SS; ART_LNK_HG_KS; ART_LNK_HG_MS; NAISTYP_OEG_HAWA; NAISTYP_OEB_HAWA; NAISTYP_OEG_SOWA; NAISTYP_OEB_SOWA; NAISTYP_OEG_WEFE; NAISTYP_OEB_WEFE; NAISTYP_OEG_AUE; NAISTYP_OEG_PIO; NAISTYP_ANFE; NAISTYP_OEG_GEB
24,1;24*;;H;"Bergahorn, Bergulme und in unteren Lagen auch Esche. Der Schlussgrad ist locker bis aufgelöst, oft sind baumfreie Runsen vorhanden. Meistens Einzelbäume. Die Bäume sind oft grosskronig und säbelwüchsig. Häufig ist der Bestand homogen, da er nach einem grösseren Ereignis (z. B. Lawine) entstanden ist.
";Érable sycomore, orme de montagne et également frêne dans les stations inférieures. Le degré de fermeture est entrouvert à clairiéré. Fréquents ravins dépourvus d’arbres. En général, arbres isolés. Les arbres ont de larges houppiers avec des tiges en forme de cor des Alpes. Le peuplement est souvent homogène du fait qu’il s’est constitué après un événement important (p. ex. avalanche). ;15;25;28;25;;"Sonderwaldstandort. Basenreiche, schattige Schutthalden unterhalb von Felsen, die ständig basenhaltigen Schutt nachliefern, Schuttkegel, teilweise im Bereich von Lawinenbahnen. Auch auf Bachschuttkelgeln im Ablagerungsbereich von Murgängen. 
";Station forestière particulière. Éboulis basiques et ombragés en dessous de rochers qui fournissent continuellement des matériaux basiques, cône de déjection, parfois dans des zones de couloirs d’avalanche. Également sur les cônes de déjection qui se forment dans les zones de dépôt des laves torrentielles. ;"Sehr üppige, hochstaudenreiche Krautschicht mit Mondviole, Glänzendem Kerbel, Alpenmilchlattich, Brennessel
";Strate herbacée très luxuriante, riche en mégaphorbiées avec lunaire vivace, cerfeuil lustré, cicerbite des Alpes, ortie dioïque. ;Mull, stellenweise Kalkmull, teils erodiert;"Regosol, Pararendzina, Rendzina, stellenweise verbraunt, Gesteinsrohboden
";"Skelettgehalt sehr hoch, Gründigkeit tief, Durchlässigkeit hoch bis gering. Keine Vernässung.
";Pierrosité très élevée, sol profond, perméabilité élevée à faible. Non hydromorphe. ;9;1;9;;10;2;1;1;1;0;0;2;1;2;1;2;2;1;0;1;1;2;2;0;0;0;0;24Stern;;;;;;;;;;0;;1;;0;;0;0;0;0
24,100003;24*Fe;24*;U;"Bergahorn, Bergulme und in unteren Lagen auch Esche. Der Schlussgrad ist locker bis aufgelöst, oft sind baumfreie Runsen vorhanden. Meistens Einzelbäume. Die Bäume sind oft grosskronig und säbelwüchsig. Häufig ist der Bestand homogen, da er nach einem grösseren Ereignis (z. B. Lawine) entstanden ist.
";Érable sycomore, orme de montagne et également frêne dans les stations inférieures. Le degré de fermeture est entrouvert à clairiéré. Fréquents ravins dépourvus d’arbres. En général, arbres isolés. Les arbres ont de larges houppiers avec des tiges en forme de cor des Alpes. Le peuplement est souvent homogène du fait qu’il s’est constitué après un événement important (p. ex. avalanche). ;15;25;28;25;;"Sonderwaldstandort. Mit anstehendem Fels, teilweise im Bereich von Lawinenbahnen. 
";Station forestière particulière. Avec roches affleurantes, parfois dans une zone de couloirs d’avalanche. ;"Sehr üppige, hochstaudenreiche Krautschicht mit Mondviole, Glänzendem Kerbel, Alpenmilchlattich, Brennessel
";Strate herbacée très luxuriante, riche en mégaphorbiées avec lunaire vivace, cerfeuil lustré, cicerbite des Alpes, ortie dioïque. ;;;;;9;1;9;;10;2;1;1;1;0;0;2;1;2;1;2;2;1;0;1;1;2;2;0;0;0;0;24SternFe;Y;Y;N;Y;Y;Y;Y;Y;Y;0;;1;;0;;0;0;1;0
25;25;;H;"Laubmischwald mit Linden, Esche, Berg- und Spitzahorn.
";Forêt de feuillus avec tilleul, frêne, érable sycomore et érable plane. ;25;35;37;35;;"Sonderwaldstandort. Föhnklima. Frisch. Steile Kalkschutthalden mit Steinschlag, zwischen dem Schutt Hohlräume. 
";Station forestière particulière. Climat de fœhn. Station fraîche. Éboulis calcaires raides avec chutes de pierres, cavités entre les éboulis. ;"Spärliche Strauchschicht, Krautschicht mit Â«frischemÂ» Aussehen, hauptsächlich Buchenwaldarten.
";"Strate buissonnante clairsemée ; strate herbacée d’aspect « frais », principalement espèces des hêtraies. ";Kalkmull, teils trockene Ausprägung, teils erodiert.;"Pararendzina, Rendzina, Gesteinsrohboden. Instabile Schutthalden
";"Skelettgerhalt sehr hoch, Gründigkeit sehr tief, durchlässig, keine Vernässung
";Pierrosité très élevée, sol très profond, perméable, non hydromorphe. ;9;1;1;;0;0;1;1;2;0;0;1;1;2;2;2;2;1;2;1;0;0;2;0;0;0;0;25;;;;;;;;;;0;;1;;0;;0;0;0;0
25,000003;25Fe;25;U;"Laubmischwald mit Linden, Esche, Berg- und Spitzahorn.
";Forêt de feuillus avec tilleul, frêne, érable sycomore et érable plane. ;25;35;37;35;;"Sonderwaldstandort. Föhnklima. Frisch. Steile Kalkschutthalden mit Steinschlag, zwischen dem Schutt Hohlräume. 
";Station forestière particulière. Climat de fœhn. Station fraîche. Éboulis calcaires raides avec chutes de pierres, cavités entre les éboulis. ;"Spärliche Strauchschicht, Krautschicht mit Â«frischemÂ» Aussehen, hauptsächlich Buchenwaldarten.
";"Strate buissonnante clairsemée ; strate herbacée d’aspect « frais », principalement espèces des hêtraies. ";;;;;9;1;1;;0;0;1;1;2;0;0;1;1;2;2;2;2;1;2;1;0;0;2;0;0;0;0;25Fe;Y;Y;N;Y;Y;Y;Y;Y;Y;0;;1;;0;;0;0;1;0
25,00001;25A;;H;"Mischwald mit Winterlinde, Esche, Kirschbaum, Spitzahorn, Birke, Nussbaum, etc. Hasel üppig. Aktuell hat es oft Fichte oder Lärche auf diesem Standort.
Geschlossener Wald. 

";Forêt mélangée avec tilleul à petites feuilles, frêne, merisier, érable plane, bouleau, noyer, etc. Noisetier luxuriant. Actuellement, les épicéas ou les mélèzes sont souvent présents dans cette station. Forêt fermée.;20;30;35;32;;"Meist Mulden auf basenhaltigem Schiefer, eher in Schattenlagen
";En général, dépressions sur schistes basiques, plutôt dans des lieux ombragés. ;"Krautschicht mit viel Geissfuss. 
";Strate herbacée avec herbe aux goutteux abondante. ;Mull;"Neutrale Braunerde
";"Skelettgehalt mittel, Gründigkeit tief bis sehr tief. Durchlässigkeit mittel, schwach bis stark grundnass
";Pierrosité moyenne, sol profond à très profond. Perméabilité moyenne, peu à fortement influencé par la nappe phréatique. ;9;1;9;30;;0;0;2;1;0;0;2;2;0;2;0;2;0;2;0;0;1;2;0;0;0;0;25grossA;;;;;;;;;;1;;0;;0;;0;0;0;0
25,00011;25Q;;;;Forêt mélangée avec chêne sessile, tilleul à petites feuilles, frêne, merisier, érable champêtre, alisier blanc, érable plane, bouleau, etc. Présence possible du châtaignier. Noisetier. Actuellement, les épicéas, les mélèzes ou les pins sylvestres sont souvent présents dans cette station. Forêt fermée.  ;15;20;25;22;;"Meist Kreten auf basenhaltigem Schiefer oder Moränen, eher in Schattenlagen
";En général, crêtes sur schistes basiques ou moraines, plutôt dans des lieux ombragés. ;"Krautschicht artenreich. 
";Strate herbacée riche en espèces. ;Moder, Mull;"Neutrale Braunerde, Regosol
";"Skelettgehalt mittel, Gründigkeit mittel. Durchlässig, keine Vernässung
";Pierrosité moyenne, profondeur moyenne. Perméable, non hydromorphe. ;9;1;;;;0;0;2;0;1;0;2;1;2;1;0;2;0;2;0;0;2;2;0;0;0;2;25Q;;;;;;;;;;1;;0;;0;;0;0;2;0
25,00017;25O;;H;"Offener Laubmischwald, Hopfenbuchen dominieren, dazwischen unbewachsene Steinschuttrunsen. Dazu Winterlinde, Sommerlinde, Esche, Blumenesche, selten Ahorne, Ulmen, Eichen, Stechpalme, Edellorbeer.
";Forêt de feuillus mélangée, ouverte et dominée par le charme-houblon. Couloirs d’éboulis non boisés. En plus : tilleul à petites fleurs, tilleul à grandes fleurs, frêne, frêne à fleurs, rarement érables, ormes, chênes, houx et laurier noble.  ;14;25;27;25;;"Sonderwaldstandort. Steile, instabile Kalkschutthalden mit Steinschlag, grobschuttig, meist sonnig, wenig stabilisiert und humusiert.
";Station forestière particulière. Éboulis calcaires grossiers, raides et instables avec chutes de pierres, généralement ensoleillés, peu stabilisés et peu recouverts d’humus. ;"Dichte niederwaldartige Hopfenbuchengruppen, teilweise mit Haselbeständen. Trockenere Fazies mit Rohböden, Mäusedorn und Niedriger Segge.
";Groupes denses de charme-houblon en forme de taillis, parfois peuplements de noisetiers. Variante plus sèche avec sol brut, fragon piquant et laiche humble. ;Kalkmull. Ürtlich Xeromoder.;"Rendzina, Regosol, instabile Schutthalden nur kleinflächig und oberflächlich verbraunt.
";"Skelettreiche Rohböden, Gründigkeit flach, durchlässig
";Sols bruts très pierreux, superficiels, perméables. ;1;1;1;10;;2;1;1;1;2;0;1;1;1;2;0;2;1;2;1;2;1;2;0;0;0;0;25O;;;;;;;;;;0;;1;;0;;0;0;0;0
25,00019;25F;;H;"Laubmischwald mit Esche, Bergahorn, Spitzahorn, Linden, Ulme. 
";Forêt de feuillus avec frêne, érable sycomore, érable plane, tilleul et orme. ;25;35;37;35;;"Sonderwaldstandort. Basenreiche, schattige Schutthalden unterhalb von Felsen, die ständig basenhaltigen Schutt nachliefern, Schuttkegel. Auch auf Bachschuttkegeln im Ablagerungsbereich von Murgängen. 
";Station forestière particulière. Éboulis basiques et ombragés en dessous de rochers qui fournissent continuellement des matériaux basiques. Également sur les cônes de déjection qui se forment dans les zones de dépôt des laves torrentielles.;"Oft üppige Strauchschicht. Krautschicht sehr artenreich mit viele Nährstoff- und Feuchtezeigern
";Strate buissonnante souvent luxuriante. Strate herbacée très riche en espèces avec des espèces indicatrices de bonnes conditions nutritives et d’humidité abondantes. ;Mull, Kalkmull, teils erodiert;"Pararendzina, Rendzina teilweise verbraunt und oder vernässt, 
";"Skelettgehalt sehr hoch, Gründigkeit tief bis sehr tief, Durchlässigkeit mittel bis gering, keine Vernässung bis grundnass oder schwach pseudovergleyt.
";Pierrosité très élevée, sol profond à très profond, perméabilité moyenne à faible, non hydromorphe à peu pseudogelyifié. ;9;1;1;0;;0;1;2;1;0;0;2;2;0;2;0;2;1;2;1;0;2;2;0;0;0;0;25grossF;;;;;;;;;;0;;1;;0;;0;0;0;0
25,000193;25FFe;25F;U;"Laubmischwald mit Esche, Bergahorn, Spitzahorn, Linden, Ulme. 
";Forêt de feuillus avec frêne, érable sycomore, érable plane, tilleul et orme. ;25;35;37;35;;"Sonderwaldstandort. Mit anstehendem Kalkfels. 
";Station forestière particulière. Avec roches calcaires affleurantes. ;"Oft üppige Strauchschicht. Krautschicht sehr artenreich mit viele Nährstoff- und Feuchtezeigern
";Strate buissonnante souvent luxuriante. Strate herbacée très riche en espèces avec des espèces indicatrices de bonnes conditions nutritives et d’humidité abondantes. ;;;;;9;1;1;0;;0;1;2;1;0;0;2;1;0;2;0;2;1;2;1;0;2;2;0;0;0;0;25grossFF;Y;Y;N;Y;N;Y;Y;Y;Y;0;;1;;0;;0;0;1;0
25,001;25a;;;;Le tilleul à petites feuilles domine, accompagné du frêne et du châtaignier. ;25;30;30;35;;Region 5 Sonderwaldstandort, Region 4 Hauptwaldstandort. Taleinschnitte mit steilen Hängen. Silikat- und Moränen-Schutthalden mit Steinschlag, zwischen dem Schutt Hohlräume. Ausserhalb vom Buchenareal teilweise auch auf zonalen Hängen.;Dans la région 5, station forestière particulière, dans la région 4, station forestière principale. Vallées aux versants raides. Éboulis sur roches siliceuses et morainiques avec chutes de pierre, cavités entre les pierres. En dehors de l’aire du hêtre, par endroits également sur des versants à caractère zonal.;"Krautschicht aus mittleren Arten, Efeu bildet Rasen, Lücken mit viel Haselsträuchern.
";Strate herbacée composée d’espèces mésotrophe, tapis de lierre, trouées avec buissons de noisetiers abondants. ;Mull;"Kolluviale Böden, oberflächlich verbraunt, leicht sauer bis neutral.
";"Skelettgehalt mittel, Gründigkeit mittel. Durchlässig, keine Vernässung
";Pierrosité moyenne et profondeur moyennes. Perméable, non hydromorphe. ;2;0;2;;;1;2;1;1;0;0;1;2;1;1;0;1;2;1;1;0;2;2;2;2;0;0;25a;;;;;;;;;;2;StaoReg 4;2;StaoReg 5a, 5b;0;;0;0;0;0
25,001001;25as;;;;Le tilleul à petites feuilles domine, accompagné du châtaignier et du chêne sessile. ;20;25;30;28;;Region 5 Sonderwaldstandort, Region 4 Hauptwaldstandort. Austrockende, teilw. sonnige, felsige oder schuttige Hänge. Felsen. Ausserhalb vom Buchenareal teilweise auch auf zonalen Hängen.;Dans la région 5, station forestière particulière, dans la région 4, station forestière principale. Versants éboulés ou versants rocheux très secs et partiellement ensoleillés. Rochers. En dehors de l’aire du hêtre, par endroits également sur des versants à caractère zonal.;"Krautschicht lückig, oft mit Trockenzeigern.
";Strate herbacée lacunaire, souvent avec espèces indicatrices de sécheresse. ;Moder;"Regosol, kolluviale Ranker, wenig tief verbraunt.
";"Skelettgehalt mittel bis hoch, Gründigkeit flach bis tief. Durchlässig, keine Vernässung
";Pierrosité moyenne à élevée, sol superficiel à profond. Perméable, non hydromorphe. ;0;0;2;;;1;2;2;0;2;0;1;1;1;2;0;1;2;2;1;0;2;2;2;2;0;0;25as;;;;;;;;;;2;StaoReg 4;2;StaoReg 5a, 5b;0;;0;0;0;0
25,002;25b;;;;Forêt de feuillus mélangée de bonne croissance, souvent peuplement issu de taillis avec charme-houblon, tilleul à petites feuilles, tilleul à grandes feuilles, frêne, frêne à fleurs, érable, orme, merisier, hêtre, charme, châtaignier, chênes, houx, laurier noble et noyer.  ;20;30;32;30;;"Sonderwaldstandort. Frische Kalkschutthalden teilweise stabilisiert, feinschuttig, gelegentlich mit Steinschlag. 
";Station forestière particulière. Éboulis calcaires frais et partiellement stabilisés, fins, chutes de pierres occasionnelles. ;Region 5 Sonderwaldstandort, Region 4 Hauptwaldstandort. Spärliche Strauchschicht in den reifen Stadien, sonst dichte Haselbestände. Krautschicht mit Â«frischemÂ» Aussehen. Frischere Fazies mit Farnen.;Région 5 station forestière particulière, région 4 station forestière principale. Strate buissonnante clairsemée dans les stades évolués, sinon denses peuplements de noisetiers. Strate herbacée d’aspect « frais ». Variante plus fraîche avec fougères.;Kalkmull;"Rendzina, teilweise oberflächlich verbraunt, Pararendzina, (Regosol).
";"Skelettgerhalt sehr hoch, Gründigkeit sehr tief, durchlässig, keine Vernässung 
";Pierrosité très élevée, sol très profond, perméable, non hydromorphe. ;9;1;1;;;0;1;1;2;0;0;2;2;0;2;2;2;1;0;1;0;0;2;0;0;0;0;25b;;;;;;;;;;0;;1;;0;;0;0;0;0
25,005;25e;;;;Frênaie mélangée peu fertile, souvent buissonnante avec tilleuls et chênes isolés. ;10;20;22;20;;"Warme, trockene Kalkfelssteilhänge
";Versants abrupts chauds et secs sur calcaire. ;"Strauchig und krautig.
";Buissonnant et herbeux. ;Xeromull (Xero-Kalkmull) und Xero-Moder;"Sehr flachgründige Rendzina
";"Oft nur in Felsspalten, Durchlässigkeit übermässig
";Souvent uniquement dans les cavités rocheuses, perméabilité extrême. ;9;1;;;;0;1;1;0;2;0;1;1;1;2;2;0;0;0;1;0;0;2;0;0;0;2;25e;;;;;;;;;;1;;0;;0;;0;0;1;0
25,007;25f;;;;Le tilleul à petites feuilles et le frêne dominent, accompagnés du chêne sessile, du châtaignier, du hêtre, de l’érable sycomore, de l’orme de montagne, de l’aulne noir, de l’épicéa, du sapin et de l’if. Le peuplement peut évoluer vers une tillaie mélangée avec if, sapin, lierre et espèces laurophylles. ;25;30;32;30;;Sonderwaldstandort. Vegetationskomplex der schattigen Schluchten auf Silikat. Enge Täler mit  ozeanischem, luftfeuchten, windarmen Mesoklima. Bis 900 (1100) m über Meer.;Station forestière particulière. Formation végétale des gorges ombragées sur sol siliceux. Vallées étroites à mésoclimat océanique, à air humide et peu venteuses. Jusqu’à 900 (1100) m d’altitude.;"Artenreich, mit Säurezeigern, auf den Felswänden trockene Polster, auf bewegten Schutt Nährstoffzeiger wie Mondviole und viele Farne.
";Riche en espèces, avec espèces indicatrices d’acidité. Surfaces sèches sur les parois rocheuses, espèces indicatrices de bonnes conditions nutritives sur les éboulis instables comme la lunaire vivace et de nombreuses fougères. ;Mull;"Kolluviale Böden, teilweise verbraunt bis Ranker.
";"Skelettgehalt mittel bis hoch, Gründigkeit flach bis tief, keine Vernässung
";Pierrosité moyenne à élevée, sol superficiel à profond, non hydromorphe.  ;0;0;2;;;1;0;0;1;0;0;1;1;1;1;0;1;1;1;2;0;2;2;1;1;1;1;25f;;;;;;;;;;0;;1;;0;;0;0;2;0
25,017;25au;;;;Le tilleul à petites feuilles et le frêne dominent, accompagnés de l’érable sycomore (orme). ;25;35;37;35;;Region 5 Sonderwaldstandort, Region 4 Hauptwaldstandort. Frische Zufuhrlagen mit Schutt, steile Hänge, schattig und frisch.Ausserhalb vom Buchenareal teilweise auch auf zonalen Hängen.;Dans la région 5, station forestière particulière, dans la région 4, station forestière principale. Lieux frais alimentés en eau avec éboulis, versants raides, ombragés et frais. En dehors de l’aire du hêtre, par endroits également sur des versants à caractère zonal.;"Üppige Krautschicht mit Farnen und Brombeeren.
";Strate herbacée luxuriante avec fougères et ronces. ;Mull;"Kolluviale Böden bis saure Braunerde in den stabilisierten Teilen.
";"Skelettgehalt mittel bis sehr hoch, Gründigkeit flach bis tief, keine Vernässung
";Pierrosité moyenne à très élevée, sol superficiel à profond, non hydromorphe. ;2;0;2;;;1;2;1;1;0;0;1;2;2;1;0;1;2;1;1;0;1;2;1;1;2;2;25au;;;;;;;;;;2;StaoReg 4;2;StaoReg 5a, 5b;0;;0;0;0;0
25,1;25*;;;;Forêt de feuillus avec tilleul à grandes feuilles, tilleul à petites feuilles, frêne, érable sycomore, érable plane et alisier blanc. ;15;25;27;25;;"Sonderwaldstandort. Warm. Steile, trockene Kalkschutthalden mit Steinschlag und an der Oberfläche lose abgelagertem Schutt. 
";Station forestière particulière. Station chaude. Éboulis calcaires secs et raides avec chutes de pierres et dépôt d’éboulis meubles en surface.  ;"Oft dichte Strauchschicht, lückige, im Hochsommer oft austrocknende Krautschicht im Schutt.
";Strate buissonnante souvent dense, strate herbacée lacunaire, souvent sèche dans les éboulis. ;Kalkmull;"Pararendzina, Regosol, instabile Schutthalden
";"Skelettgehalt sehr hoch, Gründigkeit mittel bis tief, übermässig durchlässig, keine Vernässung
";Pierrosité très élevée, sol moyennement profond à profond, perméabilité extrême, non hydromorphe. ;9;1;;;;0;1;1;2;0;0;1;1;1;2;2;2;1;2;1;0;0;2;0;0;0;2;25Stern;;;;;;;;;;0;;1;;0;;0;0;0;0
26;26;;H;"Bergahorn und Esche dominieren, dazu Stieleiche, Kirschbaum (submontane Stufe), Bergulme, Tanne.
";L’érable sycomore et le frêne dominent, accompagnés du chêne pédonculé, du merisier (étage submontagnard), de l’orme de montagne et du sapin. ;25;35;40;40;;"Feuchte bis nasse, meist schattige Zufuhrlagen.
";Lieux humides à engorgés, alimentés en eau, généralement ombragés. ;"Oft üppige Hochstauden.
";Mégaphorbiées souvent luxuriantes. ;Mull (feuchte Ausprägung), stellenweise Kalkmull.;"Nassböden beeinflusst durch Grund-/Hangwasser oder Stauwasser, Braunerde, Pararbraunerde, Rendzina, Pararendzina, Regosol, vernässt. 
";"Skelettgehalt gering bis mittel, Gründigkeit sehr tief, biologische Aktivität hoch, obere Horizonte periodisch durchlüftet, untere Horizonte für Buche zu nass, Durchlässigkeit hoch bis gering, sehr stark bis schwach grundnass, Pseudogley bis schwach pseudovergleyt. 
";Pierrosité faible à moyenne, sol très profond, activité biologique intense, horizons supérieurs périodiquement aérés, horizons inférieurs trop engorgés pour le hêtre, perméabilité élevée à faible, très fortement à peu influencé par la nappe phréatique, pseudogley à peu pseudogleyifié. ;9;9;1;;150;2;1;2;1;0;0;2;0;0;0;0;0;0;2;0;0;1;2;2;2;0;0;26;;;;;;;;;;1;;0;;0;;0;0;0;0
26,000003;26Fe;26;U;"Bergahorn und Esche dominieren, dazu Stieleiche, Kirschbaum (submontane Stufe), Bergulme, Tanne.
";L’érable sycomore et le frêne dominent, accompagnés du chêne pédonculé, du merisier (étage submontagnard), de l’orme de montagne et du sapin. ;25;35;40;40;;"Feuchte bis nasse, meist schattige Zufuhrlagen mit anstehendem Fels.
";Lieux humides à engorgés, alimentés en eau, généralement ombragés, avec roches affleurantes.   ;"Oft üppige Hochstauden.
";Mégaphorbiées souvent luxuriantes. ;;;;;9;9;1;;150;2;1;2;1;0;0;2;1;0;0;2;0;0;2;0;0;1;2;2;2;0;0;26Fe;Y;Y;N;Y;N;Y;Y;Y;Y;1;;0;;0;;0;0;1;0
26,009;26h;;H;"Bergahorn und Esche dominieren, dazu Bergulme, Tanne, und Vogelbeere. Schlussgrad normal bis räumig. Einzelbäume und Kleinkollektive
";L’érable sycomore et le frêne dominent, accompagnés de l’orme de montagne, du sapin et du sorbier des oiseleurs. Degré de fermeture normal à espacé. Arbres isolés et petits collectifs. ;25;30;35;30;;"Tal- und Hangfusslagen
";Vallées et pieds de versants. ;"Üppige, artenreiche Krautschicht
";Strate herbacée luxuriante, riche en espèces. ;Mull, feuchte Ausprägung, stellenweise Kalkmull;"Nassböden beeinflusst durch Grund-/Hangwasser oder Stauwasser, Braunerde, Pararendzina, Regosol, vernässt. 
";"Skelettgehalt sehr gering bis hoch, Gründigkeit sehr tief, Durchlässigkeit mittel bis gering. sehr stark bis schwach grundnass, Pseudogley bis schwach pseudovergleyt.
";Pierrosité très faible à élevée, sol très profond, perméabilité moyenne à faible, influence de la nappe phréatique très forte à faible, pseudogley à peu pseudogleyifié. ;9;9;1;;60;2;1;2;1;0;0;2;0;0;0;0;0;0;2;0;2;1;2;2;2;0;0;26h;;;;;;;;;;1;;0;;0;;0;0;0;0
26,014;26w;;;;Peuplements d’aulnes blancs à érable de croissance moyenne et à couverture souvent discontinue, pouvant également être mélangés au frêne en dessous de 1200 m d’altitude. Strate buissonnante fortement couvrante constamment présente.;15;25;30;25;;"Stark wechselnde Feuchtigkeit. Stark basisch-tonige Unterlage, meist im Flyschgebiet, häufig sind Hangrutschungen und Wasseraustritte, gute bis übermässige Wasserversorgung mit periodischer Tendenz zur Austrocknung. Mässig geneigte Hänge, wasserzügige Mulden und konkave Hangfusslagen, steilere Tobelflanken mit Oberflächenerosion.
";Humidité fortement variable. Substrat fortement basique et argileux, généralement dans les terrains à flysch, glissements de terrain et écoulements d’eau fréquents, alimentation hydrique bonne à excessive avec une tendance périodique à l’assèchement. Pentes modérées, dépressions alimentées en eau courante et pieds de versants concaves, versants de ravins très raides à érosion superficielle. ;"Gut deckende Bodenvegetation mit ausgeprägtem Grasaspekt, zahlreiche, aber nicht üppig in Erscheinung tretende Krautpflanzen sind stets vorhanden aber nicht aspektbestimmend, die Moosschicht spielt eine untergeordnete Rolle 
";Végétation basse bien couvrante avec présence forte de graminées. De nombreuses herbes non luxuriantes sont toujours présentes, mais ne déterminent pas l’aspect. La strate muscinale joue un rôle mineur.   ;Mull, kaum organische Auflage;"Hangwasserbeeinflusste Rohböden
";"Stark tonig, wenig verwittert, basenreich bis zur Oberfläche, oft mit Stauhorizont, mässig skelettreich, schlecht durchlässig und gute bis übermässige Wasserspeicherkapazität, schlechte Durchlüftung 
";Sols fortement argileux, peu altérés, riches en bases jusqu’en surface, présentant souvent un horizon imperméable, pierrosité modérée, mauvaise perméablité et capacité de rétention bonne à extrême, mauvaise aération. ;2;1;;;;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;2;1;1;26w;;;;;;;;;;0;;0;;1;;0;0;0;0
27;27;;H;"Esche, Schwarzerle, vereinzelt Bergahorn.
";Frêne, aulne noir, quelques érables sycomores. ;25;30;30;33;;"Quellige Stellen und Bachläufe, Einfluss von fliessendem Wasser.
";"Zones de sources et cours d’eau ; influence de l’eau courante. ";"Oft üppige Krautschicht, an quelligen Stellen mit viel Riesenschachtelhalm.
";Strate herbacée souvent luxuriante, prêles géantes abondantes dans les zones de sources. ;Mull (feuchte Ausprägung), stellenweise Anmoor, Kalkmull;"Nassböden beeinflusst durch Grund-/Hangwasser oder Stauwasser, Braunerde, Rendzina, Pararendzina, Regosol, Ranker vernässt. 
";"Skelettgehalt sehr gering bis hoch, oft Kalktuff, Gründigkeit sehr tief,biologische Aktivität hoch. Durchlässigkeit hoch bis gering, sehr stark bis schach grundnass, stark bis sehr schwach pseudovergleyt
";Pierrosité très faible à élevée, souvent tuf calcaire, sol très profond, activité biologique intense, perméabilité élevée à faible, très fortement à peu influencé par la nappe phréatique, tendance au pseudogley forte à très faible. Perméabilité élevée à faible, très fortement à peu influencé par la nappe phréatique, tendance au pseudogley forte à très faible. ;0;0;9;0;;2;1;2;1;0;0;0;0;0;0;0;0;0;2;0;0;1;2;1;1;1;2;27;;;;;;;;;;1;;0;;0;;0;0;0;0
27,00017;27O;;;;Le frêne et l’aulne noir dominent. ;25;32;32;32;;"Quellige Stellen und kleine Bachläufe in wintermilden Lagen, Einfluss von fliessendem Wasser, Häufig am Hang auf Möräne und Silikat (kalkmeidend).
";Zones de sources et petits cours d’eau dans des stations au climat hivernal doux, influence de l’eau courante, souvent sur les versants de moraines et les pentes siliceuses (calcifuge). ;"Wüchsige Erlengruppen, mit Efeu. Unten Eschen und Brombeergestrüpp unterbrochen von Nassstellen. Farnhorste.
";Groupes d’aunes vigoureux, avec lierre. Sous les frênes et les ronciers, entrecoupé de zones humides. Touffes de fougères. ;Mull;"Braunerde teilw. mit Oxidation. Regosol oberflächlich verbraunt.
";"Skelettgehalt mittel bis hoch, Oben versauert, Gründigkeit tief, biologische Aktivität hoch. Durchlässigkeit mittel bis gross, Hang- und Grundwasserspiegel oberflächennah aber sauerstoffreich, daher nur schwach pseudovergleyt.
";Pierrosité moyenne à élevée, partie supérieure du sol acidifiée, sol profond, activité biologique intense. Perméabilité moyenne à élevée, nappe perchée et niveau de la nappe phréatique proches de la surface du sol, mais riches en oxygène, par conséquent le sol n’est que peu pseudogleyifié. ;0;0;2;;;1;0;2;1;0;0;2;2;0;0;0;2;0;1;2;0;2;2;2;1;1;1;27O;;;;;;;;;;1;;0;;0;;0;0;0;0
