STO_Nr;STO_DEU;STO_LAT;EIGNUNG;WB_VERJ_ENT;WB_PFL;BESCHREIBUNG;HOEHENVERBREITUNG;VEGETATION;VORWALDBAUMARTEN;GESGR_Nr;VERDRISK;PRIORITAET
9w;Wechselfeuchter Lungenkraut-Buchenwald;Pulmonario-Fagetum caricetosum flaccae;"PR: Produktiver Standort mit grossem Spektrum an Baumarten, Stammform oft mässig.
NG: Erhöhte Gefährdung, wenn in Bacheinhängen (im Mittelland häufig).
NS: Reichhaltig und wertvoll, da meist in wilden Tobeln und an Hängen.";"N: Bu unter Schirm; Mischbaumarten unter lockerem Schirm und in Lücken.
Mischbaumarten empfohlen; Förderung mit flächigen Verjüngungshieben bis Gruppengrösse; Ausrichtung der Hiebsränder zur Förderung der Baumartenvielfalt variieren.
Femelschlag.
U: Meist naturnahe Bestände.";"Bei Edellaubhölzern Mischungsregulierung ab Ende Jungwuchs, bei reiner Bu ab Ende Dickung, Durchforstung bis BH 2, grosse Kronen ausbilden.
Mischungsform: Es und BAh trupp- bis gruppenweise, Ki und BUl einzeln.";"Wüchsige, edellaubreiche Hallen-Buchenwälder, über kalkreichem Untergrund; im Gebiet meist in steiler Lage, deshalb Mischbaumarten häufig. Oft mit Bingelkraut-Teppich. 
Boden aktiv, nährstoff- und basenreich, Kalk bis in den Oberboden, mergelig und wechselfeucht.";"submontan; 500-800m";"E: Waldmeister, Wald-Veilchen, Busch-Windröschen
F: Berg-Goldnessel, Wald-Segge
M:  Bingelkraut, Weissdorn, Wolliger und Gem. Schneeball, Gewöhnl. Seidelbast, Gewöhnl. Schmerwurz, Süsse Wolfsmilch
O:  Schlaffe Segge
";−;"9, 10, 
11";3;
10w;Wechseltrockener Lungenkraut-Buchenwald mit Immenblatt;Pulmonario-Fagetum melittetosum, Ausb. mit Carex flacca;"PR: Ziemlich produktiver Standort mit grossem Spektrum an Baumarten. Wegen Seltenheit unbedeutend.
NG: Erhöhte Gefährdung, wenn an mergeligen Hängen. 
NS: Reichhaltig und wertvoll, da kalkreich und meist sonnig.";"N: Bu unter Schirm; Mischbaumarten unter lockerem Schirm und in Lücken.
Mit Lichtungshieben und langen Verjüngungszeiträumen wird v.a. Bu gefördert, mit flächigen Verjüngungshieben bis Gruppengrösse die Lichtbaumarten; Ausrichtung der Hiebsränder zur Förderung der Baumartenvielfalt variieren.
Femelschlag.";"Bei Edellaubhölzern Mischungs-regulierung ab Ende Jungwuchs, bei reiner Bu ab Ende Dickung, Durchforstung bis BH 2, grosse Kronen ausbilden.
Mischungsform: Es und BAh trupp- bis gruppenweise, Ki einzeln.";"Ziemlich wüchsige, edellaubreiche  Buchenwälder südexponierter Hanglagen über kalkreichem Untergrund. Vielfältige Kraut- und Strauchschicht. 
Boden aktiv, nährstoff- und basenreich; teils mergelig, wechseltrocken.";"submontan; 500-800m";"E: 	Waldmeister, Wald-Veilchen, 
F: 	Berg-Goldnessel, Wald-Segge, 
M: 	Bingelkraut, Wald-Zwenke, Weissdorn, Wolliger Schneeball, Feld-Rose, Leberblümchen, Süsse Wolfsmilch
O: 	Schlaffe Segge, Liguster
";−;"9, 10, 
11";3;
11;Aronstab-Buchenwald;Aro-Fagetum;"PR: Sehr produktiver Standort, mit grossem Spektrum an Baumarten.
NG: Erhöhte Gefährdung in steileren Lagen.
NS: Feuchtigkeit und Kalk bieten besonderen Lebensraum.
";"N: Bu unter Schirm, Übrige unter lockerem Schirm und in Lücken.
Mit schwachen Lichtungshieben und langen Verjüngungszeiträumen wird v.a. Bu gefördert, mit starker Lichtung oder flächigen Verjüngungshieben bis Gruppengrösse und kurzen Verjüngungszeiträumen die Lichtbaumarten.
Ausrichtung der Hiebsränder zur Förderung der Baumartenvielfalt variieren.
Femelschlag, eher grossflächig.
U: Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen. 
Ohne Bu grösserflächig; Ansamung von Es und BAh.
Verjüngungflächen mit BAh und Es spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen.
";"N: Mischungsregulierung ab Ende Jungwuchs, Durchforstung bis BH 2, grosse Kronen ausbilden.
Mischungsform: BAh und Es trupp- bis gruppenweise, Ki und BUl einzeln bis truppweise.
";"Sehr wüchsige Laubmischwälder, meist in Gewinnlagen von lehmreichen Hangfüssen, an flachen Hängen oder in Bacheinhängen. Oft flächige Bärlauch-Teppiche. 
Boden feucht, sehr aktiv, neutral bis basisch, oft kalkhaltig, tiefgründig, leicht vergleyt.";"submontan; 400-700m";"E: Waldmeister, Wald-Veilchen
F: Aronstab, Wald-Segge, Berg-Goldnessel 
G: Bärlauch (oft als Teppich)
K: Welliges Sternmoos
M: Bingelkraut
";−;"9, 10, 
11";3;
12a;Typischer Zahnwurz-Buchenwald;Cardamino-Fagetum typicum;"PR: Produktiver Standort mit grossem Spektrum an Baumarten, Nutzung durch oft steile Lage erschwert.
NG: Erhöhte Gefährdung durch oft steile Lage. Auf Dauerbestockung achten.
NS: Durch kalkhaltigen Boden relativ bedeutend, insbesondere bei steiler Lage.
";"N: Bu und Ta unter Schirm; Edellaubhölzer in Lücken.
Mit Lichtungshieben Bu-Verjüngung fördern; Lichtbaumarten durch Verjüngungshiebe bis Gruppengrösse.
Femelschlag, in Steillagen sehr kleinflächig.
U: Analog; variieren je nach vorhandenen Samenbäumen.
Verjüngung-Flächen mit BAh und Es spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen.
Schutzwald: Frühzeitig auflichten für Vorverjüngung; dauernde Bodenbedeckung zentral. ";"N: Mischungsregulierung ab Dickung, Durchforstung bis BH 2. 
Mischungsform trupp- bis gruppenweise.
";"Wüchsige Buchenwälder kalkreicher Hanglagen aller Expositionen. Unterwuchs oft von Bingelkraut dominiert. 
Boden oft skelettreich, gut durchlässig und aktiv, Kalk im Oberboden.";"untermontan; 600-1000m";"E: Waldmeister, Wald-Veilchen
F: Wald-Segge, Berg-Goldnessel 
L: Gelappter Schildfarn, Hoher 
Schwingel
M: Bingelkraut, Zahnwurz, Roter Hartriegel 
";−;12, 13;2;
12e;Trockener Zahnwurz-Buchenwald;Cardamino-Fagetum caricetosum albae;"PR: Recht wüchsig, mit grossem Baumartenspektrum.
NG: Oft steil, lokal bedeutend. 
NS: Meist lichte Bestände auf trockenem, kalkreichem Boden ergeben hohe Bedeutung; Orchideen-Standorte.";"N: In lichten Beständen für alle Baumarten meist problemlos.
Durch starke, kleinflächige Auflichtung kann Verjüngung beschleunigt werden, v.a. für Lichtbaumarten.
Räumungsschlag Ende Dickung.
Femelschlag; in den häufigen Steillagen kleinflächig.
U: Nach kleinflächigen Verjüngungshieben samen alle Baumarten meist reichlich an.
";"N: Mischregulierung in Dickung. Starke Durchforstung bis Ende BH1. 
Mischungsform: Bu trupp- bis gruppenweise oder rein, Übrige einzeln bis truppweise. ";"Ziemlich wüchsige, etwas lichte Buchenmischwälder in kalkreichen, vorwiegend sonnigen Hanglagen. 
Boden oberflächlich trockener und tiefgründiger, nicht tonig.";"untermontan; 600-1000m";"E: 	Waldmeister, Wald-Veilchen
F: 	Wald-Segge, Berg-Goldnessel
L: 	Gelappter Schildfarn
M: 	Bingelkraut, Zahnwurz, Wolliger Schneeball, Verzweigte Trespe 
O: 	Schlaffe Segge, Liguster, Buntes Reitgras, Berg-Flockenblume, Dreiblatt-Baldrian
P: 	Weisse Segge";−;12, 13;1;
12S;Feuchter Zahnwurz-Buchenwald;Cardamino-Fagetum circaetosum;"PR: Sehr produktiver Standort mit sehr grossem Spektrum an Baumarten, Nutzung durch tonigen Boden erschwert.
NG: Rutschgefährdung durch tonigen Boden in meist geneigten Lagen. Auf Dauerbestockung achten.
NS: Durch kalkhaltigen Boden und Feuchtigkeit bedeutend.";"N: Bu und Ta unter Schirm; Edellaubhölzer in Lücken.
Mit Lichtungshieben Bu-Verjüngung fördern; Lichtbaumarten durch Verjüngungshiebe bis Gruppengrösse. 
Femelschlag.
U: Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen. Ohne Bu grösserflächig; dadurch Ansamung von Es und BAh.
Verjüngung-Flächen mit BAh und Es spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen.
Bei Wildverbiss oder schlechtem Wuchs: Es und BAh auf Stock setzen.";"N: Bei Edellaubhölzern Mischungsregulierung ab Ende Jungwuchs, bei reiner Bu ab Ende Dickung, Durchforstung bis BH 2. 
Mischungsform: Trupp- bis gruppenweise.
Pflege lohnend!";"Sehr wüchsige Buchenmischwälder feuchter, kalkreicher Hanglagen aller Expositionen. Unterwuchs üppig, artenreich, teils mit Bärlauch. 
Boden sehr aktiv und tiefgründig, feuchter als 12a.";"untermontan; 600-900m";"E: 	Waldmeister, Wald-Veilchen
F: 	Wald-Segge, Berg-Goldnessel
G: 	Bärlauch (auf Teilflächen teppichartig)
H: Wald-Ziest, Wald-Springkraut 
K: Hängende Segge
L: 	Gelappter Schildfarn, Haargerste
M: 	Bingelkraut, Zahnwurz, Roter Hartriegel";−;12, 13;3;
12w;"Wechselfeuchter Zahnwurz-Buchenwald
";Cardamino-Fagetum caricetosum flaccae;"PR: Rechtv wüchsig, mit sehr grossem Baumartenspektrum; durch mergeligen Boden und oft steile Lage aber nur beschränkt nutzbar. 
NG: Auf Rutschungen anfällig, oft steil. Deshalb sehr hohe Bedeutung.
NS: Meist lichte Bestände auf wechseltrockenem, kalkreichem Boden ergeben sehr hohe Bedeutung; Orchideen-Standorte.";"N: In lichten Beständen für alle Baumarten meist problemlos.
Durch starke, kleinflächige Auflichtung kann Verjüngung beschleunigt werden, v.a. für Lichtbaumarten; diese werden empfohlen. 
Räumungsschlag Ende Dickung.
Femelschlag; in den häufigen Steillagen kleinflächig.
U: Nach kleinflächigen Verjüngungshieben samen alle Baumarten meist reichlich an.
";"N: Mischregulierung in Dickung. Starke Durchforstung bis Ende BH1. 
Mischungsform: Bu trupp- bis gruppenweise oder rein, Übrige einzeln bis truppweise.
Schutzwald: Standfeste Einzelbäume und grosse Artenpalette fördern.";"Mässig wüchsige, etwas lichte Buchenmischwälder in kalkreichen, vorwiegend sonnigen Hanglagen. 
Boden tonig, leicht wasserzügig, oft rutschig und flachgründig, Kalk im Oberboden.";"untermontan; 700-1100m";"E: 	Waldmeister, Wald-Veilchen
F: 	Wald-Segge, Berg-Goldnessel
L: 	Gelappter Schildfarn
M: 	Bingelkraut, Zahnwurz, Wolliger Schneeball, Verzweigte Trespe 
O: Schlaffe Segge, Liguster, Buntes Reitgras, Berg-Flockenblume, Dreiblatt-Baldrian
";−;12, 13;3;
13a;Typischer Linden-Buchenwald;Tilio-Fagetum typicum;"PR: Lage meist steil und schwer zugänglich, zudem oft krumme oder verletzte Stämme, deshalb wirtschaftlich unbedeutend.
NG: Hohe Bedeutung als Schutzwald gegen Steinschlag.
NS: Eher durchschnittlich.";"Bu und Ta unter Schirm; Edellaubhölzer in Lücken.
Mit Lichtungshieben Bu-Verjüngung fördern; Lichtbaumarten durch Verjüngungshiebe. Dauernde Bodenbedeckung zentral. ";"Nur punktuelle Eingriffe zur Förderung von Struktur und Mischung; 
bei wichtiger Steinschlagfunktion hohe Stammzahl anstreben.";"Wüchsige bis mässig wüchsige Buchenmischwälder mit Li, BAh, SAh und BUl. Säbelwuchs und Stammverletzungen weisen auf stetigen Steinschlag hin. 
";"submontan, untermontan; 400-1000m";"SS: Artenreich, oft gut ausgebildet, oft viel Hasel und Schwarzer Holunder.
KS: Artenreich, meist gut ausgebildet. Mit Herden von Bingelkraut und Zahnwurz, vereinzelt Hirschzunge. ";HBi;12, 13;2;
13e;Trockener Linden-Buchenwald;Tilio-Fagetum caricetosum albae;"PR: Lage meist steil und schwer zugänglich, zudem oft krumme oder verletzte Stämme, deshalb wirtschaftlich unbedeutend.
NG: Hohe Bedeutung als Schutzwald gegen Steinschlag.
NS: Durch steile, besonnte Lage von erhöhtem Interesse.";"Bu und Ta unter Schirm; Edellaubhölzer in Lücken.
Mit Lichtungshieben Bu-Verjüngung fördern; Lichtbaumarten durch Verjüngungshiebe. Dauernde Bodenbedeckung zentral. ";"Nur punktuelle Eingriffe zur Förderung von Struktur und Mischung; 
bei wichtiger Steinschlagfunktion hohe Stammzahl anstreben.";"Mässig wüchsige Buchenmischwälder mit Li, Es, BAh, SAh und BUl. Säbelwuchs und Stammverletzungen weisen auf stetigen Steinschlag hin. 
";"untermontan, obermontan; 700-1200m";"SS: Artenreich, oft gut ausgebildet, oft viel Hasel und Schwarzer Holunder.
KS: Artenreich, meist gut ausgebildet. Mit Herden von Bingelkraut und Zahnwurz, vereinzelt Hirschzunge, Weiss-Segge.";;12, 13;1;
13h;Typischer Alpendost-Buchenwald;Adenostylo-Fagetum typicum;"PR: Lage meist steil und schwer zugänglich, zudem oft krumme oder verletzte Stämme, deshalb wirtschaftlich unbedeutend.
NG: Hohe Bedeutung als Schutzwald gegen Steinschlag.
NS: Eher durchschnittlich.";"Bu und Ta unter Schirm; Edellaubhölzer in Lücken.
Mit Lichtungshieben Bu-Verjüngung fördern; Lichtbaumarten durch Verjüngungshiebe. Dauernde Bodenbedeckung zentral. ";"Nur punktuelle Eingriffe zur Förderung von Struktur und Mischung; 
bei wichtiger Steinschlagfunktion hohe Stammzahl anstreben.";"Wüchsige bis mässig wüchsige Buchenmischwälder mit Li, Es, BAh und BUl. Säbelwuchs und Stammverletzungen weisen auf stetigen Steinschlag hin. 
";"obermontan; 1000-1400m";"SS: Artenreich, oft gut ausgebildet, oft viel Hasel, Schwarzer Holunder, Schwarzes Geissblatt.
KS: Artenreich, meist gut ausgebildet. Mit Herden von Bingelkraut und Zahnwurz, vereinzelt Hirschzunge, Kahler Alpendost.";HBi, VBe;12, 13;2;3
14;Seggen-Buchenwald mit Weissegge;Carici albae-Fagetum typicum;"PR: Nicht wüchsige Standorte mit knorrigen Stammformen, deshalb ohne Bedeutung.
NG: Oft in steileren Hängen; dort Erhaltung der Stabilität wichtig.
NS: Grosse Bedeutung durch seltene Kalkstandorte.";In lichten Beständen für alle Baumarten meist problemlos.;Höchstens punktuelle Eingriffe zu Gunsten von Naturschutzzielen, z.B. für erhöhten Lichteinfall.;"Lichte, schwach wüchsige Buchenwälder mit knorrigen Kronen und krummschaftigen Stämmen.
";"submontan, untermontan; 500-1000m";"SS: Artenreich (Kalksträucher), mässig bis üppig ausgebildet. 
KS: Artenreich mit oft grasigem Aspekt, Weisse Segge, Schlaffe Segge, Orchideen. ";−;"14, 15,
16";1;
15;Seggen-Buchenwald mit Bergsegge;"Carici-Fagetum caricetosum montanae
";"PR: Nicht wüchsige Standorte mit knorrigen Stammformen, deshalb ohne Bedeutung.
NG: Oft im Bereich von steileren Hängen; dort Erhaltung der Stabilität wichtig.
NS: Grosse Bedeutung durch seltene Kalkstandorte.";In lichten Beständen für alle Baumarten meist problemlos.;Höchstens punktuelle Eingriffe zu Gunsten von Naturschutzzielen, z.B. für erhöhten Lichteinfall.;"Lichte, schwach wüchsige Buchenwälder mit knorrigen Kronen und krummschaftigen Stämmen.
";"submontan, untermontan; 600-1100m";"SS: Artenreich (Kalksträucher), mässig bis üppig ausgebildet. 
KS: Artenreich mit meist grasigem Aspekt, Berg-Segge, Schlaffe Segge, Orchideen.";−;"14, 15,
16";1;
16;Typischer Blaugras-Buchenwald;Seslerio-Fagetum;"PR: Nicht wüchsige Standorte mit knorrigen Stammformen, deshalb ohne Bedeutung.
NG: Oft im Bereich von Kuppen und angrenzenden Steilhängen; Erhaltung der Stabilität wichtig.
NS: Grosse Bedeutung durch seltene Kalkstandorte.";In lichten Beständen für alle Baumarten meist problemlos.;Höchstens punktuelle Eingriffe zu Gunsten von Naturschutzzielen, z.B. für erhöhten Lichteinfall.;"Lichte, schwach wüchsige Buchenmischwälder mit knorrigen Kronen und krummschaftigen Stämmen.
.";"obermontan; 1100-1400m";"SS: Artenreich (Kalksträucher), mässig bis üppig ausgebildet. 
KS: Artenreich mit meist grasigem Aspekt, Blaugras.";−;"14, 15,
16";1;4
17;Eiben-Buchenwald;Taxo-Fagetum;"PR: Kein Wirtschaftswald, da steil und felsig-rutschig.
NG: Oberflächlich oft bewegt, aber meist mit solidem Untergrund. Dauerbestockung anstreben.
NS: Durch offenen Charakter und kalkig-felsigen Untergrund erhöhte Vielfalt.";"In lichtem Bestand für alle Baumarten meist reichlich. In dichteren Beständen genügen leichte Verjüngungshiebe.
Einzel- bis Gruppenplenterung.";"Kaum notwendig; vereinzelte Eingriffe zur Förderung standfester Einzelbäume.
Schutzwald: Förderung eines grossen Baumartenspektrums mit guter Struktur ist Hauptziel; punktuelle Eingriffe bei Bedarf, in Bachnähe bei Gefährdung schwere Einzelbäume fällen.";"Ziemlich bis schwach wüchsige Buchenmischwälder an Steilhängen aller Expositionen. Unterwuchs teils grasig und artenreich. Einige Bestände mit viel Eibe (selten im Napfgebiet); südexponierte teils mit Weisser Segge.
Boden mergelig oder felsig, wechseltrocken, Streu rutscht meist weg. ";"submontan, untermontan; 500-1000m";"C: Heidelbeere (auf Rippen)
E: Sanikel, Wald-Veilchen
F: Berg-Goldnessel
M: Bingelkraut, Wolliger Schneeball
O: Buntes Reitgras, Schlaffe Segge, Liguster
P: Weisse Segge (an Sonnenhängen)
";−;17;1;k
18;Waldschwingel-Tannen-Buchenwald;Festuco-Abieti-Fagetum;"PR: Produktiver Standort mit vielseitigen Möglichkeiten; gute Erträge mit wenig Risiko.
NG: Erhöhte Gefährdung, wenn  steil.
NS: Besonderheiten in Steillagen.
";"N: Hauptbaumarten unter Schirm; im Lichtschacht oder Seitenlicht; meist freudig.
Verjüngung fördern durch kleine Verjüngungshiebe, Schaffen von Lichtschächten und Seitenlicht. Gleichmässiges Auflichten fördert die flächige Verjüngung der Bu. Einzel- bis Gruppenplenterung oder kleinflächiger Femelschlag.
U: Überführung in Plenterstruktur ist erwünscht: Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten, v.a in der Nähe geeigneter Samenbäume. Einzelbäume mit grösster Lebenserwartung stehen lassen.
";"N: Bei Plenterung Eingriffe zur Holzernte und Strukturausformung, Pflege kann sich auf Schlagpflege beschränken.
In flächigen Verjüngungen Jungwaldpflege ab Dickung (Mischungsregulierung, Stabilitätsauslese). Durchforstungen bis BH 1.
Mischungsform: Einzeln bis truppweise, in Verjüngung auch gruppenweise. Ta fördern.
U: Punktuelle Eingriffe zur Förderung einer kleinflächig stufigen Struktur.
";"Wüchsige Mischbestände von Bu, Ta und Fi an mässig steilen bis steilen Hängen aller Expositionen. 
Mittlere Standorte mit aktiven, mittel- bis tiefgründigen Böden; nur oberflächlich nesterweise versauernd.";"obermontan; 900-1400m";"C: Breiter Wurmfarn 
E: 	Breitblättriger Ehrenpreis, Ährige Rapunzel, Sanikel, Wald-Veilchen
F: 	Wald-Segge, Weisse Pestwurz
L: Hoher Schwingel (örtlich mit hoher Deckung) Schwarzes Geissblatt, Gelappter Schildfarn, Haargerste";HBi, VBe;"18, 19, 
20, 21";2;
18c;Tannen-Buchenwald mit Breitem Wurmfarn;Abieti-Fagetum dryopterietosum dilatatae;"PR: Wuchskraft reduziert, Baumartenwahl eingeschränkt; gute Qualität von Ta und Fi.
NG: Ausgezeichnete Schutzwirkung, da sehr stabile Standorte.
NS: Wenig Besonderheiten; oft schöne Heidelbeer- und Moosbestände
";"N: Hauptbaumarten unter Schirm und im Lichtschacht. Verjüngung fördern durch schwache Lichtungshiebe oder das Öffnen von Lichtschächten.
Einzel- bis Gruppenplenterung.
U: Gleichförmige Fi-Bestände häufig. Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten. Einzelbäume mit grösster Lebenserwartung stehen lassen. Ta fördern.
";"N: Kann sich auf Schlagpflege be-schränken. Nebenbestand aller Baum- und Straucharten fördern.
Mischungsform: einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur.
";"Ziemlich wüchsige Mischbestände von Ta, Fi und Bu auf flachen Hängen, Plateaus und Rippen. Nährstoffärmer und saurer als 18, daher mit hohem Nadelholzanteil; moos- und heidelbeerreicher Unterwuchs und deutliche Moderauflage. ";"obermontan; 900-1300m";"C: Heidelbeere, Rippenfarn, Breiter Wurmfarn, Wald-Hainsimse, Zweibl. Schattenblume, Hainmoos, Wald-Frauenhaar, Tamariskenmoos  
L: Hoher Schwingel
";VBe, HBi, RHol;18, 19, 20, 21;2;
18M;Typischer Karbonat-Tannen-Buchenwald;Adenostylo glabrae-Abieti-Fagetum typicum;"PR: Sehr wüchsiger Standort mit grossem Baumartenspektrum.
NG: In steilen Lagen etwas rutschgefährdet, da labile Oberfläche.
NS: Etwas erhöhte Bedeutung, v. a. wenn kalkreich.";"N: Bu und Ta unter Schirm, Übrige in Lücken und im Seitenlicht.
Durch kleinflächige Auflichtungen und das Schaffen von Seitenlicht wird meist reiche Ansamung gefördert; für Lichtbaumarten Verjüngungshiebe bis Gruppengrösse (in steilen Lagen kleinflächiger).
Gruppenplenterung bis kleinflächiger Femelschlag.
U: Oft vorhandene Ansamung durch Verjüngungshiebe begünstigen. Kleinflächig vorgehen, nur in Ausnahmen mehr als Truppgrösse.
";"N: Bei Femelschlag: Mischungsregulierung ab Dickung, mehrmals Durchforstung bis BH 1. Auf starke Kronenausbildung achten. 
Pflege lohnend. Bei Plenterung nur Schlagpflege nötig.
Mischungsform: Einzeln bis gruppenweise.
U: Punktuelle Eingriffe zur Förderung einer kleinflächig stufigen Struktur.";"Wüchsige Mischbestände von Bu, Ta und Fi an vorwiegend steilen Hängen aller Expositionen, oft Beimischung von Bah, sowie Es und BUI. Unterwuchs von Bingelkraut dominiert. 
Boden basen- und nährstoffreicher als 18, meist kalkhaltig.";"obermontan; 900-1400m";"E: Ährige Rapunzel, Breitblättriger Ehrenpreis, Sanikel
F: Wald-Segge, Weisse Pestwurz
L: Schwarzes Geissblatt, Alpen-Hagrose, Gelappter Schildfarn
M: Bingelkraut, Wald-Zwenke
O: Berg-Flockenblume, Dreiblatt-Baldrian

";HBi, RHol;"18, 19, 
20, 21";2;
18v;Buntreitgras-Tannen-Buchenwald mit Rostsegge;Adenostylo glabrae Abieti-Fagetum calamagrostietosumvariae, Ausb. mit Carex ferruginea;"PR: Kein Wirtschaftswald, steil und felsig-rutschig, nur beschränkt waldfähig.
NG: Oberflächlich oft bewegt, aber meist mit solidem Untergrund. Dauerbestockung anstreben.
NS: Durch offenen Charakter und mergelig-felsigen Untergrund erhöhte Vielfalt.";"In sehr lichtem Bestand für alle Baumarten meist reichlich. 
";"Nicht notwendig.
Schutzwald: punktuelle Eingriffe bei Bedarf.
";"Sehr schwach wüchsige Mischwälder an Steilhängen, vorwiegend nordexponiert. Unterwuchs grasig und artenreich. 
Boden mergelig, wechselfeucht, oberflächlich oft rutschig. 
Extrem flachgründig, nur lückig bestockt. ";"obermontan; 900-1400m";"E: Sanikel
F: Berg-Goldnessel
L: Kahler Alpendost, Alpen-Hagrose, Alpengeissblatt
O: Buntes Reitgras, Schlaffe Segge, Berg-Flockenblume, Dreiblatt-Baldrian, Wald-Witwenblume, Rostfarbene Segge
";−;"18, 19, 
20, 21";3;
18w;Typischer Buntreitgras-Tannen-Buchenwald;Adenostylo glabrae Abieti-Fagetum calamagrostietosumvariae;"PR: Oft steiler und teils rutschiger Standort; nur ausnahmsweise Wirtschaftswald.
NG: Oberflächlich oft bewegt, Untergrund meist solid. Dauerbestockung ist zentral!
NS: Durch oft offenen Charakter und kalkig-mergeligen Untergrund deutlich erhöhte Vielfalt.";"In lichtem Bestand für alle Baumarten meist reichlich. 
In dichteren Beständen genügen leichte Verjüngungshiebe an verjüngungsgünstigen Stellen.
Einzel- bis Gruppenplenterung.";"N: Kaum notwendig; vereinzelte Eingriffe zur Förderung standfester Einzelbäume.
Mischungsform: Einzeln bis trupp-weise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur.
Schutzwald: Förderung eines grossen Baumartenspektrums mit guter Struktur und stabilen Einzelbäumen oder Gruppen ist Hauptziel; punktuelle Eingriffe bei Bedarf.
";"Wenig bis ziemlich wüchsige, eher lichte und vielfältige Mischbestände von Bu, Fi und Ta an Steilhängen aller Expositionen. Unterwuchs oft mit mit grasigem Aspekt. 
Boden flach- bis mittelgründig, wechseltrocken, basenreich. ";"obermontan; 1000-1400m";"C: Breiter Wurmfarn, Heidelbeere (auf Rippen) 
E: 	Ährige Rapunzel, Wald-Veilchen
F: 	Wald-Segge
L: Kahler Alpendost 
M: 	Bingelkraut, Wald-Zwenke, 
O: Buntes Reitgras, Schlaffe Segge, Berg-Flockenblume, Alpenmasslieb, Rostfarbene Segge, Dreiblatt-Baldrian";−;"18, 19, 
20, 21";2;
18*;Karbonat-Tannen-Buchenwald mit Weissegge;Adenostylo glabrae-Abieti-Fagetum caricetosum albae;"PR: Mässig wüchsiger Standort mit grossem Baumartenspektrum.
NG: In steilen Lagen etwas rutschgefährdet, da labile Oberfläche.
NS: Erhöhte Bedeutung, v. a. wenn kalkreich.
";"N: Bu und Ta unter Schirm, Übrige in Lücken und im Seitenlicht.
Durch kleinflächige Auflichtungen und das Schaffen von Seitenlicht wird meist reiche Ansamung gefördert; für Lichtbaumarten Verjüngungshiebe bis Gruppengrösse;  in steilen Lagen kleinflächiger. 
Gruppenplenterung bis kleinflächiger Femelschlag.
U: Oft vorhandene Ansamung durch Verjüngungshiebe begünstigen. Kleinflächig vorgehen, nur in Ausnahmen mehr als Truppgrösse.
";"N: Bei Femelschlag: Mischungsregulierung ab Dickung, mehrmals Durchforstung bis BH 1. Auf starke Kronenausbildung achten. 
Pflege lohnend.
Bei Plenterung nur Schlagpflege nötig.
Mischungsform: Einzeln bis gruppenweise.
U: Punktuelle Eingriffe zur Förderung einer kleinflächig stufigen Struktur.
";"Recht wüchsige Mischbestände von Bu, Ta und Fi an vorwiegend steilen, besonnten Hängen, oft Beimischung von BAh. Unterwuchs von Bingelkraut dominiert. 
Boden basen- und nährstoffreicher als 18, meist kalkhaltig.";"obermontan; 1000-1400m";"E: Ährige Rapunzel, Breitblättriger Ehrenpreis, Sanikel
F: Wald-Segge, Weisse Pestwurz
L: Schwarzes Geissblatt, Alpen-Hagrose, Gelappter Schildfarn
M: Bingelkraut, Wald-Zwenke, Dunkelrote Sumpfwurz
O: Buntes Reitgras, Berg-Flockenblume, Dreiblatt-Baldrian
P: Blaugras, Weisse Segge
";HBi, RHol;"18, 19, 
20, 21";1;
19;Typischer Waldsimsen-Tannen-Buchenwald;Luzulo-Abieti-Fagetum typicum;"PR: Wuchskraft mässig, wenig vielseitig. 
NG: Ausgezeichnete Schutzwirkung, da sehr stabile Standorte; mit Dauerbestockung wird dies betont.
NS: Wenig Besonderheiten.
";"N: Hauptbaumarten unter Schirm und im Lichtschacht. Verjüngung fördern durch Lichtungshiebe mit Seiten- und Schachtlicht. Direktes Sonnenlicht und Wind erzeugen Aushagerung.
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung.";"N: Kann sich auf Schlagpflege be-schränken.
Mischungsform: Einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur.
";"Ziemlich wüchsige Mischbestände von Fi, Bu und Ta an ausgehagerten Hängen und Rippen, Unterwuchs mit Säurezeigern. 
Boden sandig bis schluffig, gut drainiert, nährstoffarm, sauer, mit Tendenz zur Rohhumusbildung.";"obermontan; 900-1300m";"C: Heidelbeere, Breiter Wurmfarn, Rippenfarn, Wald-Hainsimse, Tamariskenmoos
L: Hoher Schwingel
";HBi, VBe, MBe;"18, 19, 
20, 21";2;
